X,Y,field_1,field_2
159.3455,-76.7061,-76.7061,159.3455
159.3458,-76.7058,-76.7058,159.3458
159.3463,-76.7055,-76.7055,159.3463
159.3468,-76.7052,-76.7052,159.3468
159.3478,-76.7048,-76.7048,159.3478
159.3478,-76.7048,-76.7048,159.3478
159.3494,-76.7042,-76.7042,159.3494
159.3498,-76.7039,-76.7039,159.3498
159.3509,-76.7035,-76.7035,159.3509
159.3518,-76.703,-76.703,159.3518
159.3524,-76.7024,-76.7024,159.3524
159.3526,-76.7021,-76.7021,159.3526
159.3531,-76.7017,-76.7017,159.3531
159.3534,-76.7011,-76.7011,159.3534
159.3535,-76.7008,-76.7008,159.3535
159.3535,-76.7005,-76.7005,159.3535
159.3533,-76.7001,-76.7001,159.3533
159.353,-76.6996,-76.6996,159.353
159.3515,-76.6988,-76.6988,159.3515
159.3509,-76.6985,-76.6985,159.3509
159.3489,-76.6982,-76.6982,159.3489
159.3459,-76.6976,-76.6976,159.3459
159.3431,-76.6969,-76.6969,159.3431
159.3434,-76.6969,-76.6969,159.3434
159.3434,-76.6969,-76.6969,159.3434
159.342,-76.6965,-76.6965,159.342
159.34,-76.6959,-76.6959,159.34
159.3378,-76.6945,-76.6945,159.3378
159.3372,-76.6945,-76.6945,159.3372
159.3363,-76.6945,-76.6945,159.3363
159.3332,-76.6945,-76.6945,159.3332
159.3302,-76.6945,-76.6945,159.3302
159.3288,-76.6945,-76.6945,159.3288
159.3196,-76.6931,-76.6931,159.3196
159.3196,-76.6931,-76.6931,159.3196
159.3164,-76.6929,-76.6929,159.3164
159.3159,-76.6931,-76.6931,159.3159
